TC2004_ID,NAME,TotalOfPremise,Comparison_Prop,Convenience_Prop,Leisure_Prop,Services_Prop,Vacant_Prop
TC0001,Aberaeron,4,0.75,0,0.25,0,0
TC0002,Aberdare,33,0.484848485,0.060606061,0,0.424242424,0.03030303
RC0001,Aberdare Retail Core,25,0.56,0.04,0,0.36,0.04
TC0003,Abergavenny,183,0.431693989,0.06557377,0.174863388,0.316939891,0.010928962
RC0002,Abergavenny Retail Core,102,0.460784314,0.068627451,0.166666667,0.284313725,0.019607843
TC0004,Abergele,8,0.25,0,0.125,0.5,0.125
TC0005,Abertillery,17,0.176470588,0.235294118,0.058823529,0.470588235,0.058823529
RC0003,Abertillery Retail Core,11,0.090909091,0.181818182,0,0.636363636,0.090909091
TC0006,Aberystwyth,59,0.576271186,0.06779661,0.13559322,0.220338983,0
RC0004,Aberystwyth Retail Core,46,0.586956522,0.043478261,0.086956522,0.282608696,0
TC0007,Abingdon,175,0.314285714,0.08,0.228571429,0.325714286,0.051428571
RC0005,Abingdon Retail Core,155,0.309677419,0.083870968,0.232258065,0.322580645,0.051612903
TC0008,Accrington,265,0.388679245,0.041509434,0.222641509,0.275471698,0.071698113
RC0006,Accrington Retail Core,194,0.396907216,0.051546392,0.18556701,0.278350515,0.087628866
TC0009,Acock's Green,40,0.475,0.1,0.075,0.3,0.05
RC0007,Acock's Green Retail Core,32,0.40625,0.125,0.0625,0.34375,0.0625
TC0010,Acomb,71,0.281690141,0.14084507,0.126760563,0.394366197,0.056338028
TC0011,Acton,213,0.220657277,0.145539906,0.305164319,0.272300469,0.056338028
TC0012,"Acton Park Estate, Acton",9,0.111111111,0.111111111,0.555555556,0.222222222,0
RC0008,Acton Retail Core,56,0.178571429,0.178571429,0.285714286,0.25,0.107142857
TC0013,Addlestone,98,0.255102041,0.071428571,0.224489796,0.357142857,0.091836735
TC0014,"Albany Road, Cardiff",45,0.377777778,0.133333333,0.088888889,0.377777778,0.022222222
RC0009,"Albany Road, Cardiff Retail Core",5,0,0.2,0.2,0.6,0
TC0015,Alcester,9,0.333333333,0.111111111,0.111111111,0.444444444,0
TC0016,Alderley Edge,17,0.235294118,0.235294118,0.176470588,0.352941176,0
TC0017,Aldershot,261,0.295019157,0.084291188,0.214559387,0.252873563,0.153256705
RC0010,Aldershot Retail Core,194,0.340206186,0.067010309,0.195876289,0.257731959,0.139175258
TC0018,Aldridge,70,0.371428571,0.114285714,0.214285714,0.285714286,0.014285714
TC0019,Alfreton,167,0.401197605,0.107784431,0.137724551,0.299401198,0.053892216
RC0011,Alfreton Retail Core,90,0.433333333,0.122222222,0.133333333,0.266666667,0.044444444
TC0020,All Saints,55,0.418181818,0.236363636,0.163636364,0.181818182,0
TC0021,"Allerton Road, Wavertree",16,0.3125,0.1875,0.25,0.25,0
TC0022,Allestree,21,0.19047619,0.238095238,0.142857143,0.380952381,0.047619048
TC0023,Alnwick,28,0.464285714,0.107142857,0.035714286,0.357142857,0.035714286
RC0012,Alnwick Retail Core,25,0.4,0.12,0.04,0.4,0.04
TC0024,Alton,185,0.389189189,0.064864865,0.2,0.286486486,0.059459459
RC0013,Alton Retail Core,139,0.424460432,0.050359712,0.172661871,0.287769784,0.064748201
TC0025,Altrincham,332,0.334337349,0.039156627,0.210843373,0.240963855,0.174698795
RC0014,Altrincham Retail Core,308,0.327922078,0.042207792,0.204545455,0.24025974,0.185064935
TC0026,Ambleside,14,0.5,0.142857143,0.142857143,0.214285714,0
TC0027,Amersham,142,0.450704225,0.091549296,0.126760563,0.288732394,0.042253521
