TC2004_ID,NAME,TotalOfPremise,Comparison_Prop,Convenience_Prop,Leisure_Prop,Services_Prop,Vacant_Prop
RC0541,Southampton Retail Core,466,0.463519313,0.053648069,0.17167382,0.184549356,0.126609442
TC1129,"Southbourne, Bournemouth",28,0.321428571,0.214285714,0.071428571,0.25,0.142857143
TC1130,Southend-on-Sea,493,0.359026369,0.077079108,0.196754564,0.202839757,0.164300203
RC0542,Southend-on-Sea Retail Core,405,0.372839506,0.079012346,0.190123457,0.185185185,0.172839506
TC1131,Southfields,69,0.275362319,0.231884058,0.086956522,0.304347826,0.101449275
TC1132,Southgate,165,0.266666667,0.103030303,0.242424242,0.339393939,0.048484848
TC1133,"Southlands Road, Bromley",16,0.3125,0.125,0.1875,0.25,0.125
TC1134,Southport,576,0.364583333,0.059027778,0.246527778,0.175347222,0.154513889
RC0543,Southport Retail Core,404,0.408415842,0.061881188,0.193069307,0.173267327,0.163366337
TC1135,Southsea,170,0.270588235,0.1,0.217647059,0.341176471,0.070588235
RC0544,Southsea Retail Core,123,0.341463415,0.105691057,0.130081301,0.37398374,0.048780488
TC1136,Southwell,1,0,0,0,1,0
TC1138,Southwold,4,0,0,0,0.25,0.75
TC1140,Spalding,247,0.344129555,0.105263158,0.145748988,0.315789474,0.089068826
RC0545,Spalding Retail Core,189,0.365079365,0.105820106,0.126984127,0.328042328,0.074074074
TC1141,Sparkbrook,13,0.384615385,0,0.153846154,0.076923077,0.384615385
TC1142,Sparkhill,24,0.25,0.125,0,0.375,0.25
TC1143,Spennymoor,32,0.25,0.09375,0.0625,0.1875,0.40625
TC1144,St. Albans,483,0.401656315,0.057971014,0.209109731,0.262939959,0.068322981
RC0546,St. Albans Retail Core,332,0.463855422,0.048192771,0.168674699,0.256024096,0.063253012
TC1145,"St. Albans Road, Watford",42,0.19047619,0.19047619,0.19047619,0.238095238,0.19047619
TC1146,St. Austell,86,0.360465116,0.081395349,0.11627907,0.139534884,0.302325581
RC0547,St. Austell Retail Core,52,0.365384615,0.076923077,0.076923077,0.134615385,0.346153846
TC1147,St. Helens,371,0.345013477,0.09703504,0.177897574,0.212938005,0.167115903
RC0548,St. Helens Retail Core,277,0.386281588,0.108303249,0.14801444,0.202166065,0.155234657
TC1148,"St. Ives, Cambridgeshire",196,0.357142857,0.06122449,0.209183673,0.331632653,0.040816327
RC0549,"St. Ives, Cambridgeshire Retail Core",110,0.4,0.063636364,0.172727273,0.309090909,0.054545455
TC1149,"St. Ives, Cornwall",260,0.469230769,0.092307692,0.265384615,0.130769231,0.042307692
RC0550,"St. Ives, Cornwall Retail Core",150,0.52,0.1,0.26,0.066666667,0.053333333
TC1150,"St. John's Hill, Battersea",49,0.346938776,0.081632653,0.285714286,0.183673469,0.102040816
TC1151,St. Johns Wood,115,0.373913043,0.139130435,0.113043478,0.339130435,0.034782609
RC0552,St. Johns Wood Retail Core,62,0.516129032,0.112903226,0.112903226,0.241935484,0.016129032
TC1152,St. Leonards,59,0.220338983,0.016949153,0.118644068,0.13559322,0.508474576
TC1153,"St. Margarets East, Richmond",64,0.359375,0.109375,0.171875,0.28125,0.078125
TC1154,"St. Margarets Station, Richmond",49,0.306122449,0.183673469,0.224489796,0.244897959,0.040816327
TC1155,"St. Marychurch, Torquay",39,0.282051282,0.102564103,0.153846154,0.384615385,0.076923077
TC1157,St. Neots,184,0.331521739,0.081521739,0.163043478,0.320652174,0.10326087
RC0554,St. Neots Retail Core,112,0.339285714,0.089285714,0.160714286,0.321428571,0.089285714
TC1158,Stafford,409,0.364303178,0.041564792,0.188264059,0.281173594,0.124694377
RC0555,Stafford Retail Core,284,0.39084507,0.049295775,0.165492958,0.246478873,0.147887324
TC1159,Staines,256,0.4296875,0.04296875,0.1796875,0.23046875,0.1171875
RC0556,Staines Retail Core,175,0.525714286,0.04,0.125714286,0.194285714,0.114285714
TC1160,Stalybridge,45,0.177777778,0.088888889,0.088888889,0.044444444,0.6
TC1161,Stamford,274,0.379562044,0.062043796,0.182481752,0.281021898,0.094890511
TC1162,Stamford Hill,74,0.405405405,0.175675676,0.148648649,0.243243243,0.027027027
RC0558,Stamford Retail Core,203,0.39408867,0.073891626,0.172413793,0.275862069,0.083743842
TC1164,Stanley,37,0.405405405,0.135135135,0.081081081,0.135135135,0.243243243
TC1165,Stanmore,90,0.266666667,0.077777778,0.233333333,0.388888889,0.033333333
RC0559,Stanmore Retail Core,54,0.296296296,0.055555556,0.240740741,0.37037037,0.037037037
TC1166,Staple Hill,38,0.473684211,0.157894737,0.052631579,0.289473684,0.026315789
TC1167,Stevenage,216,0.425925926,0.078703704,0.12037037,0.287037037,0.087962963
TC1168,Stevenage Old Town,122,0.237704918,0.057377049,0.319672131,0.344262295,0.040983607
RC0560,Stevenage Retail Core,150,0.506666667,0.08,0.1,0.193333333,0.12
TC1169,Steyning,6,0.166666667,0.166666667,0,0.166666667,0.5
TC1170,Stockport,498,0.325301205,0.058232932,0.16064257,0.198795181,0.257028112
RC0561,Stockport Retail Core,380,0.365789474,0.063157895,0.136842105,0.218421053,0.215789474
TC1171,Stockton Heath,45,0.222222222,0.088888889,0.266666667,0.333333333,0.088888889
TC1172,Stockton-on-Tees,468,0.303418803,0.074786325,0.198717949,0.194444444,0.228632479
RC0562,Stockton-on-Tees Retail Core,362,0.314917127,0.085635359,0.182320442,0.20718232,0.209944751
TC1173,Stoke Newington,289,0.256055363,0.128027682,0.252595156,0.238754325,0.124567474
TC1174,"Stoke Newington Church Street, London",23,0.391304348,0.043478261,0.304347826,0.086956522,0.173913043
TC1175,Stoke-on-Trent,464,0.36637931,0.0625,0.153017241,0.183189655,0.234913793
RC0563,Stoke-on-Trent Retail Core,445,0.370786517,0.060674157,0.148314607,0.184269663,0.235955056
TC1176,Stokesley,45,0.311111111,0.088888889,0.133333333,0.444444444,0.022222222
TC1177,Stoke-upon-Trent,44,0.318181818,0.113636364,0.090909091,0.090909091,0.386363636
TC1178,Stone,20,0.25,0.15,0.2,0.15,0.25
TC1179,Stony Stratford,123,0.382113821,0.06504065,0.219512195,0.308943089,0.024390244
TC1180,Storrington,12,0.083333333,0.166666667,0.083333333,0.5,0.166666667
TC1181,Stourbridge,240,0.291666667,0.079166667,0.170833333,0.316666667,0.141666667
RC0566,Stourbridge Retail Core,182,0.307692308,0.087912088,0.164835165,0.274725275,0.164835165
TC1182,Stourport-on-Severn,26,0.153846154,0.038461538,0.269230769,0.269230769,0.269230769
TC1183,Stowmarket,50,0.24,0.04,0.2,0.34,0.18
RC0567,Stowmarket Retail Core,29,0.206896552,0.034482759,0.310344828,0.275862069,0.172413793
TC1184,Stow-on-the-Wold,34,0.235294118,0.058823529,0.147058824,0.176470588,0.382352941
TC1185,Stratford,211,0.322274882,0.090047393,0.251184834,0.274881517,0.061611374
RC0568,Stratford Retail Core,105,0.466666667,0.076190476,0.20952381,0.228571429,0.019047619
TC1186,Stratford-upon-Avon,428,0.406542056,0.060747664,0.221962617,0.207943925,0.102803738
RC0569,Stratford-upon-Avon Retail Core,368,0.434782609,0.065217391,0.20923913,0.206521739,0.08423913
TC1187,Streatham,310,0.280645161,0.109677419,0.216129032,0.277419355,0.116129032
TC1188,Street,186,0.596774194,0.059139785,0.11827957,0.172043011,0.053763441
RC0570,Street Retail Core,134,0.582089552,0.067164179,0.104477612,0.179104478,0.067164179
TC1190,Stretford,85,0.423529412,0.070588235,0.011764706,0.176470588,0.317647059
RC0571,Stretford Retail Core,84,0.428571429,0.05952381,0.011904762,0.178571429,0.321428571
TC1191,Strood,86,0.26744186,0.139534884,0.11627907,0.337209302,0.139534884
TC1192,Stroud,256,0.41015625,0.05078125,0.1875,0.24609375,0.10546875
RC0573,Stroud Retail Core,222,0.427927928,0.058558559,0.166666667,0.238738739,0.108108108
TC1193,Studley,9,0.222222222,0.111111111,0,0.333333333,0.333333333
TC1194,Sudbury,183,0.393442623,0.054644809,0.153005464,0.306010929,0.092896175
RC0574,Sudbury Retail Core,117,0.41025641,0.05982906,0.11965812,0.341880342,0.068376068
TC1195,Summertown,98,0.346938776,0.091836735,0.163265306,0.357142857,0.040816327
TC1196,Sunderland,579,0.343696028,0.070811744,0.202072539,0.240069085,0.143350604
RC0575,Sunderland Retail Core,443,0.388261851,0.081264108,0.16027088,0.23476298,0.135440181
TC1197,Sunningdale,18,0.444444444,0.055555556,0.222222222,0.166666667,0.111111111
TC1198,Sunninghill,,NA,NA,NA,NA,NA
TC1199,Surbiton,181,0.281767956,0.071823204,0.248618785,0.359116022,0.038674033
RC0576,Surbiton Retail Core,82,0.317073171,0.073170732,0.231707317,0.365853659,0.012195122
TC1201,Surrey Quays Shopping Centre,53,0.490566038,0.094339623,0.113207547,0.283018868,0.018867925
RC0577,Surrey Quays Shopping Centre Retail Core,50,0.52,0.08,0.08,0.3,0.02
TC1202,Sutton,413,0.355932203,0.06779661,0.205811138,0.237288136,0.133171913
TC1203,Sutton Coldfield,219,0.383561644,0.063926941,0.146118721,0.292237443,0.114155251
RC0578,Sutton Coldfield Retail Core,137,0.518248175,0.080291971,0.116788321,0.211678832,0.072992701
RC0579,Sutton Retail Core,297,0.417508418,0.053872054,0.178451178,0.208754209,0.141414141
TC1204,"Sutton Road, Southend-on-Sea",11,0.363636364,0,0.181818182,0.272727273,0.181818182
TC1205,Sutton-in-Ashfield,229,0.384279476,0.122270742,0.122270742,0.27510917,0.096069869
RC0580,Sutton-in-Ashfield Retail Core,162,0.425925926,0.148148148,0.080246914,0.271604938,0.074074074
TC1206,Swadlincote,26,0.230769231,0.076923077,0.153846154,0.307692308,0.230769231
RC0581,Swadlincote Retail Core,11,0.272727273,0.090909091,0.090909091,0.363636364,0.181818182
TC1207,Swaffham,24,0.25,0.041666667,0.166666667,0.125,0.416666667
TC1208,Swanage,145,0.468965517,0.103448276,0.206896552,0.186206897,0.034482759
RC0582,Swanage Retail Core,89,0.426966292,0.112359551,0.179775281,0.224719101,0.056179775
TC1209,Swanley,14,0.285714286,0.071428571,0.214285714,0.285714286,0.142857143
RC0583,Swanley Retail Core,6,0.5,0.166666667,0.166666667,0,0.166666667
TC1210,Swansea,633,0.334913112,0.055292259,0.227488152,0.199052133,0.183254344
RC0584,Swansea Retail Core,401,0.408977556,0.042394015,0.157107232,0.216957606,0.174563591
TC1212,Swindon,497,0.325955734,0.054325956,0.179074447,0.265593561,0.175050302
TC1213,Swindon Old Town,157,0.222929936,0.057324841,0.286624204,0.299363057,0.133757962
RC0585,Swindon Retail Core,348,0.385057471,0.066091954,0.143678161,0.224137931,0.181034483
TC1214,Swinton,103,0.262135922,0.087378641,0.213592233,0.32038835,0.116504854
TC1215,Sydenham,100,0.3,0.17,0.11,0.37,0.05
TC1216,Synwell,1,0,0,0,1,0
TC1217,Syston,17,0.470588235,0.058823529,0.058823529,0.294117647,0.117647059
TC1218,Tadcaster,7,0.285714286,0,0,0,0.714285714
TC1219,Tamworth,368,0.274456522,0.070652174,0.198369565,0.29076087,0.16576087
