UID,NAME,Comp_08,Conv_08,Lei_08,Serv_08,CompCh_15,ConCh_15,LeiCh_15,SerCh_15,EASTING,NORTHING
TC0470,Felixstowe,141.24,164.03,143.28,127.35,-15.68,-18.21,-15.9,-14.14,630363.7324,234761.6197
TC0636,Hitchin,188.85,253.18,174.04,205.52,-28.33,-37.97,-26.11,-30.83,518470.2703,229204.7297
TC0323,Colchester,249.89,200.23,177.41,196.65,-21.99,-17.62,-15.61,-17.3,599514.8936,225192.7305
TC1167,Stevenage,273.66,293.21,274.64,234.15,-95.23,-102.04,-95.58,-81.49,523794.6319,224014.2638
TC0169,Braintree,148.43,169.41,161.19,132.89,-37.11,-42.36,-40.3,-33.22,575725,223115.9091
TC0277,Cheltenham,292.01,304.97,160.01,181.89,-29.2,-30.49,-16,-18.19,394785.5479,222294.589
TC0406,Dunstable,140.47,117.82,117.74,117.17,-80.21,-67.28,-67.23,-66.91,501820.2381,221906.9048
TC0130,Bishop's Stortford,250.44,293.16,197.44,215.51,-27.8,-32.54,-21.92,-23.92,548839.6259,221263.4354
TC0783,Luton,148.5,153.99,121.31,139.92,-28.81,-29.87,-23.54,-27.15,509058.3333,221216.4966
TC0252,Carmarthen,158.92,158.8,122.06,140.91,-52.92,-52.88,-40.65,-46.92,241174.2063,220080.5556
TC0511,Gloucester,197.52,175.37,110.33,140.77,-88.49,-78.57,-49.43,-63.07,383218.1884,218437.1739
TC0305,Clacton-on-Sea,141.95,148.76,169.9,127.71,-40.6,-42.55,-48.59,-36.53,617475,214823.1651
TC0003,Abergavenny,180.57,188.92,147.78,127.3,-14.99,-15.68,-12.27,-10.56,329864.1304,214287.3188
TC0055,Aylesbury,267.91,277.75,165.87,187.84,-63.76,-66.11,-39.48,-44.71,482008.4071,213723.8938
TC1332,Welwyn Garden City,247.21,230.46,233.04,246.92,-44.99,-41.94,-42.41,-44.94,523763.2653,213036.2245
TC0615,Hertford,184.9,219.15,161.74,172.64,-30.88,-36.6,-27.01,-28.83,532627.3952,212494.7605
TC0566,Harlow,244.02,171.09,161.14,216.88,-97.61,-68.44,-64.46,-86.75,544550.2294,209987.3853
TC0605,Hemel Hempstead,214.89,246.62,216.23,174.46,-93.91,-107.77,-94.49,-76.24,505559.6995,207130.4645
TC0275,Chelmsford,309.45,306.44,225.69,274.63,0,0,0,0,570787.3967,206760.2617
TC0933,Oxford,447.55,416.22,396.43,425.61,30.89,28.71,27.36,29.36,451174.5918,206199.0816
TC0304,Cirencester,208.26,230.98,191.1,185.36,14.78,16.4,13.57,13.16,402308.6538,201988.9423
TC0760,Llanelli,103.53,147.26,76.92,78.64,-60.36,-85.85,-44.84,-45.85,250641.4773,200306.8182
TC0007,Abingdon,148.6,183.2,112.56,130.43,-57.21,-70.53,-43.33,-50.22,449707.1839,197111.2069
TC0443,Enfield,336.49,345.27,309.98,271.37,-145.7,-149.5,-134.22,-117.5,532865.9396,196595.8054
TC0175,Brentwood,240.24,270.97,218.32,252.33,-44.93,-50.67,-40.83,-47.18,559464.1791,193808.9552
TC0627,High Wycombe,213.73,165.81,153.89,152.68,-65.83,-51.07,-47.4,-47.03,486377.4887,193133.8235
TC0083,Basildon,255.82,251.55,258.27,280.73,-66.26,-65.15,-66.89,-72.71,570497.028,188548.0769
TC1034,Romford,236.72,215.09,220.4,193.09,-44.98,-40.86,-41.88,-36.68,551334.1518,188771.2054
TC0572,Harrow,307.39,304.49,236.57,262.17,-116.5,-115.4,-89.66,-99.37,515448.0627,188340.3137
TC0671,Ilford,226.98,209.23,170.43,194.64,-106.91,-98.55,-80.27,-91.67,543739.0693,186635.1732
TC0068,Barking,142.94,165.72,163.47,177.74,-44.6,-51.71,-51,-55.46,544364.9083,184225.4587
TC0610,Henley-on-Thames,247.83,238.53,192.96,221.18,-61.96,-59.63,-48.24,-55.29,476114.5238,182597.381
TC0409,Ealing,289.89,276.11,244.08,284.85,-137.41,-130.88,-115.69,-135.02,517217.9504,180593.9295
TC0176,Bridgend,182.79,185.33,119.24,152.35,-84.82,-85.99,-55.33,-70.69,290581.9444,179739.3519
TC0247,Cardiff,506.32,324.45,250.68,270.34,-135.19,-86.63,-66.93,-72.18,318520.8029,176484.6715
TC0656,Hounslow,272.78,204.82,237.85,241.43,-78.01,-58.58,-68.03,-69.05,513860.4749,175715.2235
TC0112,Bexleyheath,227.63,216.47,185.26,212.03,-54.86,-52.17,-44.65,-51.1,548970.2174,175272.8261
TC0377,Dartford,174.48,162.12,148.33,161.09,-34.9,-32.42,-29.67,-32.22,554123.5507,174039.8551
TC0526,Gravesend,125.75,125.98,115.64,111.69,-45.78,-45.86,-42.09,-40.66,564780.414,174060.9873
TC0291,Chippenham,215.42,187,158.73,151.58,-61.61,-53.48,-45.4,-43.35,392060.8268,173412.7953
TC1013,Reading,296.42,217.31,250.41,218.88,-32.31,-23.68,-27.3,-23.86,471687.7737,173416.6058
TC0185,Bristol,270.09,321.28,191.55,217.93,-54.02,-64.25,-38.31,-43.59,358697.5862,173204.2672
TC1159,Staines,262.24,259.99,186.51,216.75,-83.92,-83.2,-59.68,-69.36,503665.2516,171652.044
TC1387,Wimbledon,485.66,567.23,359.47,394.38,-30.11,-35.17,-22.28,-24.45,525002.5463,170569.4444
TC0166,Bracknell,196.09,279.12,274.99,196.54,-76.67,-109.14,-107.52,-76.85,486854.3413,169240.8683
TC0707,Kingston-upon-Thames,587.25,495.31,314.46,396.96,0,0,0,0,518010.3698,169273.5531
TC0508,"Gillingham, Kent",120.3,114.24,108.93,120.65,-53.41,-50.72,-48.36,-53.57,577275,168430.7143
TC0268,Chatham,164.87,214.87,128.34,136.61,-60.67,-79.07,-47.23,-50.27,575792.4556,167847.1893
